{:n-min 10512000, :avg-proof-sizes 18.440756} 
{:n-min 11512000, :avg-proof-sizes 18.677053} 
{:n-min 12512000, :avg-proof-sizes 18.73395} 
{:n-min 13512000, :avg-proof-sizes 18.692955} 
{:n-min 14512000, :avg-proof-sizes 18.486649} 
{:n-min 15512000, :avg-proof-sizes 18.380512} 
{:n-min 16512000, :avg-proof-sizes 18.830824} 
{:n-min 17512000, :avg-proof-sizes 18.216858} 
{:n-min 18512000, :avg-proof-sizes 18.915625} 
{:n-min 19512000, :avg-proof-sizes 18.656414} 
{:n-min 20512000, :avg-proof-sizes 19.687231} 
{:n-min 21512000, :avg-proof-sizes 21.266296} 
{:n-min 22512000, :avg-proof-sizes 20.556936} 
{:n-min 23512000, :avg-proof-sizes 19.209808} 
{:n-min 24512000, :avg-proof-sizes 19.53992} 
{:n-min 25512000, :avg-proof-sizes 18.571245} 
{:n-min 26512000, :avg-proof-sizes 19.076206} 
{:n-min 27512000, :avg-proof-sizes 18.890087} 
{:n-min 28512000, :avg-proof-sizes 18.553333} 
{:n-min 29512000, :avg-proof-sizes 18.733555} 
{:n-min 30512000, :avg-proof-sizes 18.624462} 
{:n-min 31512000, :avg-proof-sizes 18.880281} 
{:n-min 32512000, :avg-proof-sizes 18.536245} 
{:n-min 33512000, :avg-proof-sizes 18.824144} 
{:n-min 34512000, :avg-proof-sizes 18.630608} 
{:n-min 35512000, :avg-proof-sizes 19.284071} 
{:n-min 36512000, :avg-proof-sizes 19.343863} 
