{:n-min 10512000, :avg-proof-sizes 11.3562765} 
{:n-min 11512000, :avg-proof-sizes 11.258287} 
{:n-min 12512000, :avg-proof-sizes 11.349831} 
{:n-min 13512000, :avg-proof-sizes 11.258287} 
{:n-min 14512000, :avg-proof-sizes 11.355149} 
{:n-min 15512000, :avg-proof-sizes 11.311217} 
{:n-min 16512000, :avg-proof-sizes 11.264733} 
{:n-min 17512000, :avg-proof-sizes 11.3562765} 
{:n-min 18512000, :avg-proof-sizes 11.258287} 
{:n-min 19512000, :avg-proof-sizes 11.349538} 
{:n-min 20512000, :avg-proof-sizes 11.258287} 
{:n-min 21512000, :avg-proof-sizes 11.3562765} 
{:n-min 22512000, :avg-proof-sizes 11.252676} 
{:n-min 23512000, :avg-proof-sizes 11.296608} 
{:n-min 24512000, :avg-proof-sizes 11.349831} 
{:n-min 25512000, :avg-proof-sizes 11.258287} 
{:n-min 26512000, :avg-proof-sizes 11.349538} 
{:n-min 27512000, :avg-proof-sizes 11.258287} 
{:n-min 28512000, :avg-proof-sizes 11.3562765} 
{:n-min 29512000, :avg-proof-sizes 11.25155} 
{:n-min 30512000, :avg-proof-sizes 11.355149} 
{:n-min 31512000, :avg-proof-sizes 11.317956} 
{:n-min 32512000, :avg-proof-sizes 11.264733} 
{:n-min 33512000, :avg-proof-sizes 11.349538} 
{:n-min 34512000, :avg-proof-sizes 11.258287} 
{:n-min 35512000, :avg-proof-sizes 11.3562765} 
{:n-min 36512000, :avg-proof-sizes 11.257995} 
