{:n-min 10512000, :avg-proof-sizes 16.223228} 
{:n-min 11512000, :avg-proof-sizes 16.108603} 
{:n-min 12512000, :avg-proof-sizes 15.697048} 
{:n-min 13512000, :avg-proof-sizes 15.684349} 
{:n-min 14512000, :avg-proof-sizes 17.30901} 
{:n-min 15512000, :avg-proof-sizes 16.023169} 
{:n-min 16512000, :avg-proof-sizes 15.959523} 
{:n-min 17512000, :avg-proof-sizes 16.126286} 
{:n-min 18512000, :avg-proof-sizes 16.15803} 
{:n-min 19512000, :avg-proof-sizes 15.973854} 
{:n-min 20512000, :avg-proof-sizes 16.165573} 
{:n-min 21512000, :avg-proof-sizes 17.680937} 
{:n-min 22512000, :avg-proof-sizes 16.395824} 
{:n-min 23512000, :avg-proof-sizes 16.028263} 
{:n-min 24512000, :avg-proof-sizes 15.92858} 
{:n-min 25512000, :avg-proof-sizes 16.257734} 
{:n-min 26512000, :avg-proof-sizes 15.821632} 
{:n-min 27512000, :avg-proof-sizes 15.570668} 
{:n-min 28512000, :avg-proof-sizes 17.223557} 
{:n-min 29512000, :avg-proof-sizes 16.179235} 
{:n-min 30512000, :avg-proof-sizes 15.872848} 
{:n-min 31512000, :avg-proof-sizes 15.879904} 
{:n-min 32512000, :avg-proof-sizes 16.095913} 
{:n-min 33512000, :avg-proof-sizes 15.738438} 
{:n-min 34512000, :avg-proof-sizes 16.056124} 
{:n-min 35512000, :avg-proof-sizes 17.519781} 
{:n-min 36512000, :avg-proof-sizes 16.503819} 
